,Date andtime (UTC),"Version,Booster [a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,date,day,year,month,time,season
62,15 November 201820:46[362],F9 B5 ♺ B1047.2[263],"KSC,LC-39A",Es'hail 2[363],"5,300 kg (11,700 lb)[364]",GTO,Es'hailSat,Success,Success[365](drone ship),2018-11-15 20:46:00,Thursday,2018,11,20:46:00,Autumn
63,3 December 201818:34:05,F9 B5 ♺ B1046.3[263] (SHERPA),"VSFB,SLC-4E",SSO-A (SmallSat Express),"~4,000 kg (8,800 lb)[367]",SSO,Spaceflight Industries,Success,Success[368](drone ship),2018-12-03 18:34:00,Monday,2018,12,18:34:00,Winter
64,5 December 201818:16,F9 B5 B1050[263],"CCSFS,SLC-40",SpaceX CRS-16(Dragon C112.2 ♺ ),"2,500 kg (5,500 lb)[377] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Failure[378](ground pad),2018-12-05 18:16:00,Wednesday,2018,12,18:16:00,Winter
65,23 December 201813:51[381],F9 B5 B1054[382],"CCSFS,SLC-40",GPS III-01 (Vespucci),"4,400 kg (9,700 lb)[383]",MEO,USAF,Success,No attempt[381],2018-12-23 13:51:00,Sunday,2018,12,13:51:00,Winter
66,11 January 201915:31[391],F9 B5 ♺ B1049.2[392],"VSFB,SLC-4E",Iridium NEXT-8(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success(drone ship),2019-01-11 15:31:00,Friday,2019,1,15:31:00,Winter
67,22 February 201901:45[393],F9 B5 ♺ B1048.3[394],"CCSFS,SLC-40",Nusantara Satu (PSN-6)[395]Beresheet Moon lander[396]S5[397],"4,850 kg (10,690 lb)[398]",GTO,PSNSpaceIL / IAIAir Force Research,Success,Success(drone ship),2019-02-22 01:45:00,Friday,2019,2,01:45:00,Winter
68,2 March 201907:49[407],F9 B5 B1051.1[263][408],"KSC,LC-39A",Crew Dragon Demo-1[409](Dragon C204),"12,055 kg (26,577 lb)[410][g]",LEO (ISS), NASA (CCD) ,Success,Success(drone ship),2019-03-02 07:49:00,Saturday,2019,3,07:49:00,Spring
69,4 May 201906:48,F9 B5 B1056.1[415],"CCSFS,SLC-40",SpaceX CRS-17[138](Dragon C113.2 ♺ ),"2,495 kg (5,501 lb)[427] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),2019-05-04 06:48:00,Saturday,2019,5,06:48:00,Spring
70,24 May 201902:30,F9 B5 ♺ B1049.3[429],"CCSFS,SLC-40",Starlink v0.9 (60 satellites),"13,620 kg (30,030 lb)[430]",LEO,SpaceX,Success,Success(drone ship),2019-05-24 02:30:00,Friday,2019,5,02:30:00,Spring
71,12 June 201914:17,F9 B5 ♺ B1051.2[415],"VSFB,SLC-4E",RADARSAT Constellation(3 satellites),"4,200 kg (9,300 lb)[439]",SSO,Canadian Space Agency (CSA),Success,Success(ground pad),2019-06-12 14:17:00,Wednesday,2019,6,14:17:00,Summer
