,Date andtime (UTC),"Version,Booster [a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,date,day,year,month,time,season
205,31 May 202306:02[564],F9 B5 ♺B1061.14,"VSFB,SLC-4E",Starlink Group 2-10[565] (52 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success(drone ship),2023-05-31 06:02:00,Wednesday,2023,5,06:02:00,Spring
206,4 June 202312:20[564],F9 B5 ♺B1078.3,"CCSFS,SLC-40",Starlink Group 6-4[566] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-06-04 12:20:00,Sunday,2023,6,12:20:00,Summer
207,5 June 202315:47[567],F9 B5 ♺B1077.5[568],"KSC,LC-39A",SpaceX CRS-28(Dragon C208.4 ♺ )[569],"~9,525 kg (20,999 lb)",LEO (ISS),NASA (CRS),Success,Success(drone ship),2023-06-05 15:47:00,Monday,2023,6,15:47:00,Summer
208,12 June 202307:10[570],F9 B5 ♺B1073.9,"CCSFS,SLC-40",Starlink Group 5-11[571] (52 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success(drone ship),2023-06-12 07:10:00,Monday,2023,6,07:10:00,Summer
209,12 June 202321:35[572],F9 B5 ♺B1071.9,"VSFB,SLC-4E",Transporter-8: (72 payloads Smallsat Rideshare),Unknown[e],SSO,Various,Success,Success(ground pad),2023-06-12 21:35:00,Monday,2023,6,21:35:00,Summer
210,18 June 202322:21[573],F9 B5 ♺B1067.12[574],"CCSFS,SLC-40",SATRIA[575],"~4,580 kg (10,100 lb)",GTO,PT Pasifik Satelit Nusantara,Success,Success(drone ship),2023-06-18 22:21:00,Sunday,2023,6,22:21:00,Summer
211,22 June 202307:19[573],F9 B5 ♺B1075.4[576],"VSFB,SLC-4E",Starlink Group 5-7[577] (47 satellites),"~14,500 kg (32,000 lb)[578]",LEO,SpaceX,Success,Success(drone ship),2023-06-22 07:19:00,Thursday,2023,6,07:19:00,Summer
212,23 June 202315:35[579],F9 B5 ♺B1069.8,"CCSFS,SLC-40",Starlink Group 5-12 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),2023-06-23 15:35:00,Friday,2023,6,15:35:00,Summer
213,1 July 202315:12[580],F9 B5 ♺B1080.2,"CCSFS,SLC-40",Euclid[581],"~2,160 kg (4,760 lb)",Sun–Earth L2 injection,ESA,Success,Success(drone ship),2023-07-01 15:12:00,Saturday,2023,7,15:12:00,Summer
214,7 July 202319:29[582],F9 B5 ♺B1063.12[583],"VSFB,SLC-4E",Starlink Group 5-13[584] (48 satellites),"~14,900 kg (32,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-07-07 19:29:00,Friday,2023,7,19:29:00,Summer
215,10 July 202303:58[582],F9 B5 ♺B1058.16,"CCSFS,SLC-40",Starlink Group 6-5[585] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-07-10 03:58:00,Monday,2023,7,03:58:00,Summer
216,16 July 202303:50[586],F9 B5 ♺B1060.16[587],"CCSFS,SLC-40",Starlink Group 5-15[588] (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-07-16 03:50:00,Sunday,2023,7,03:50:00,Summer
217,20 July 202304:09[589],F9 B5 ♺B1071.10,"VSFB,SLC-4E",Starlink Group 6-15[590](15 satellites)[591],"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-07-20 04:09:00,Thursday,2023,7,04:09:00,Summer
218,24 July 202300:50[589],F9 B5 ♺B1076.6,"CCSFS,SLC-40",Starlink Group 6-6[592] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-07-24 00:50:00,Monday,2023,7,00:50:00,Summer
219,28 July 202304:01[593],F9 B5 ♺B1062.15,"CCSFS,SLC-40",Starlink Group 6-7 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-07-28 04:01:00,Friday,2023,7,04:01:00,Summer
220,3 August 202305:00[598],F9 B5 ♺B1077.6,"CCSFS,SLC-40",Galaxy 37[405]Horizons-4,"~5,063 kg (11,162 lb)",GTO,Intelsat,Success,Success(drone ship),2023-08-03 05:00:00,Thursday,2023,8,05:00:00,Summer
221,7 August 202302:41[602],F9 B5 ♺B1078.4,"CCSFS,SLC-40",Starlink Group 6-8 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-08-07 02:41:00,Monday,2023,8,02:41:00,Summer
222,8 August 202303:57[603],F9 B5 ♺B1075.5,"VSFB,SLC-4E",Starlink Group 6-20[590](15 satellites),"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-08-08 03:57:00,Tuesday,2023,8,03:57:00,Summer
223,11 August 202305:17[604],F9 B5 ♺B1069.9,"CCSFS,SLC-40",Starlink Group 6-9[605] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-08-11 05:17:00,Friday,2023,8,05:17:00,Summer
224,17 August 202303:36[606],F9 B5 ♺B1067.13,"CCSFS,SLC-40",Starlink Group 6-10[607] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-08-17 03:36:00,Thursday,2023,8,03:36:00,Summer
225,22 August 202309:37[608],F9 B5 ♺B1061.15,"VSFB,SLC-4E",Starlink Group 7-1[609] (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-08-22 09:37:00,Tuesday,2023,8,09:37:00,Summer
226,26 August 202307:27[610],F9 B5B1081.1[611],"KSC,LC-39A",Crew-7[612](Crew Dragon C210.3 Endurance ♺)[613],"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[22],Success,Success(ground pad),2023-08-26 07:27:00,Saturday,2023,8,07:27:00,Summer
227,27 August 202301:05[614],F9 B5 ♺B1080.3,"CCSFS,SLC-40",Starlink Group 6-11[615] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-08-27 01:05:00,Sunday,2023,8,01:05:00,Summer
228,1 September 202302:21[616],F9 B5 ♺B1077.7,"CCSFS,SLC-40",Starlink Group 6-13[617] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-01 02:21:00,Friday,2023,9,02:21:00,Autumn
229,2 September 2023[618]14:25[619],F9 B5 ♺B1063.13,"VSFB,SLC-4E",Transport and Tracking Layer (Tranche 0B) (11 Transport and 2 Tracking Layer satellites),Unknown,LEO,SDA,Success,Success(ground pad),2023-09-02 00:00:00,Saturday,2023,9,00:00:00,Autumn
230,4 September 202302:47[620],F9 B5 ♺B1073.10,"KSC,LC-39A",Starlink Group 6-12[621] (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-04 02:47:00,Monday,2023,9,02:47:00,Autumn
231,9 September 202303:12[622],F9 B5 ♺B1076.7,"CCSFS,SLC-40",Starlink Group 6-14[623] (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-09 03:12:00,Saturday,2023,9,03:12:00,Autumn
232,12 September 202306:57[624],F9 B5 ♺B1071.11,"VSFB,SLC-4E",Starlink Group 7-2[625] (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-12 06:57:00,Tuesday,2023,9,06:57:00,Autumn
233,16 September 202303:38[626],F9 B5 ♺B1078.5,"CCSFS,SLC-40",Starlink Group 6-16 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-16 03:38:00,Saturday,2023,9,03:38:00,Autumn
234,20 September 202303:38[629],F9 B5 ♺B1058.17,"CCSFS,SLC-40",Starlink Group 6-17 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-20 03:38:00,Wednesday,2023,9,03:38:00,Autumn
235,24 September 202303:38[630],F9 B5 ♺B1060.17,"CCSFS,SLC-40",Starlink Group 6-18 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-24 03:38:00,Sunday,2023,9,03:38:00,Autumn
236,25 September 202308:48[631],F9 B5 ♺B1075.6,"VSFB,SLC-4E",Starlink Group 7-3 (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-25 08:48:00,Monday,2023,9,08:48:00,Autumn
237,30 September 202302:00[632],F9 B5 ♺B1069.10,"CCSFS,SLC-40",Starlink Group 6-19 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-09-30 02:00:00,Saturday,2023,9,02:00:00,Autumn
238,5 October 202305:36[633],F9 B5 ♺B1076.8,"CCSFS,SLC-40",Starlink Group 6-21 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-10-05 05:36:00,Thursday,2023,10,05:36:00,Autumn
239,9 October 202307:23[634],F9 B5 ♺B1063.14,"VSFB,SLC-4E",Starlink Group 7-4 (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-10-09 07:23:00,Monday,2023,10,07:23:00,Autumn
240,13 October 202323:01[640],F9 B5 ♺B1067.14,"CCSFS,SLC-40",Starlink Group 6-22 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-10-13 23:01:00,Friday,2023,10,23:01:00,Autumn
241,18 October 202300:39[641],F9 B5 ♺B1062.16,"CCSFS,SLC-40",Starlink Group 6-23 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-10-18 00:39:00,Wednesday,2023,10,00:39:00,Autumn
242,21 October 202308:23[642],F9 B5 ♺B1061.16,"VSFB,SLC-4E",Starlink Group 7-5 (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),2023-10-21 08:23:00,Saturday,2023,10,08:23:00,Autumn
243,22 October 202302:17[643],F9 B5 ♺B1080.4,"CCSFS,SLC-40",Starlink Group 6-24 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-10-22 02:17:00,Sunday,2023,10,02:17:00,Autumn
244,29 October 202309:00[644],F9 B5 ♺B1075.7,"VSFB,SLC-4E",Starlink Group 7-6 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-10-29 09:00:00,Sunday,2023,10,09:00:00,Autumn
245,30 October 202323:20[645],F9 B5 ♺B1077.8,"CCSFS,SLC-40",Starlink Group 6-25 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-10-30 23:20:00,Monday,2023,10,23:20:00,Autumn
246,4 November 202300:37[646],F9 B5 ♺B1058.18,"CCSFS,SLC-40",Starlink Group 6-26 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-11-04 00:37:00,Saturday,2023,11,00:37:00,Autumn
247,8 November 202305:05[647],F9 B5 ♺B1073.11,"CCSFS,SLC-40",Starlink Group 6-27 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-11-08 05:05:00,Wednesday,2023,11,05:05:00,Autumn
248,10 November 202301:28[648],F9 B5 ♺B1081.2,"KSC,LC-39A",SpaceX CRS-29(Dragon C211.2 ♺),"~9,525 kg (20,999 lb)",LEO (ISS),NASA (CRS),Success,Success(ground pad),2023-11-10 01:28:00,Friday,2023,11,01:28:00,Autumn
249,11 November 202318:49[650],F9 B5 ♺B1071.12,"VSFB,SLC-4E",Transporter-9: (113 payloads Smallsat Rideshare),Unknown[e],SSO,Various,Success,Success(ground pad),2023-11-11 18:49:00,Saturday,2023,11,18:49:00,Autumn
250,12 November 202321:08[652],F9 B5 ♺B1076.9,"CCSFS,SLC-40",O3b mPOWER 5 & 6,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success(drone ship),2023-11-12 21:08:00,Sunday,2023,11,21:08:00,Autumn
251,18 November 202305:05[653],F9 B5 ♺B1069.11,"CCSFS,SLC-40",Starlink Group 6-28 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-11-18 05:05:00,Saturday,2023,11,05:05:00,Autumn
252,20 November 202310:30[654],F9 B5 ♺B1063.15,"VSFB,SLC-4E",Starlink Group 7-7 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-11-20 10:30:00,Monday,2023,11,10:30:00,Autumn
253,22 November 202307:47[655],F9 B5 ♺B1067.15,"CCSFS,SLC-40",Starlink Group 6-29 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-11-22 07:47:00,Wednesday,2023,11,07:47:00,Autumn
254,28 November 202304:20[656],F9 B5 ♺B1062.17,"CCSFS,SLC-40",Starlink Group 6-30 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-11-28 04:20:00,Tuesday,2023,11,04:20:00,Autumn
255,1 December 202318:19[657],F9 B5 ♺B1061.17,"VSFB,SLC-4E",425 Project SAR satellite[658][659]EIRSAT-1 and others 23 secondary payloads[660],"~800 kg (1,800 lb)(main satellite)",SSO,Republic of Korea Armed Forces,Success,Success(ground pad),2023-12-01 18:19:00,Friday,2023,12,18:19:00,Winter
256,3 December 202304:00[662],F9 B5 ♺B1078.6,"CCSFS,SLC-40",Starlink Group 6-31 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-12-03 04:00:00,Sunday,2023,12,04:00:00,Winter
257,7 December 202305:07[663],F9 B5 ♺B1077.9,"CCSFS,SLC-40",Starlink Group 6-33 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-12-07 05:07:00,Thursday,2023,12,05:07:00,Winter
258,8 December 202308:03[664],F9 B5 ♺B1071.13,"VSFB,SLC-4E",Starlink Group 7-8 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2023-12-08 08:03:00,Friday,2023,12,08:03:00,Winter
259,19 December 202304:01[668],F9 B5 ♺B1081.3,"CCSFS,SLC-40",Starlink Group 6-34 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-12-19 04:01:00,Tuesday,2023,12,04:01:00,Winter
260,23 December 202305:33[669],F9 B5 ♺B1058.19,"CCSFS,SLC-40",Starlink Group 6-32 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success[g](drone ship),2023-12-23 05:33:00,Saturday,2023,12,05:33:00,Winter
261,24 December 202313:11[671],F9 B5 ♺B1075.8,"VSFB,SLC-4E",SARah 2 & 3[672],"~3,600 kg (7,900 lb)",SSO,German Intelligence Service,Success,Success(ground pad),2023-12-24 13:11:00,Sunday,2023,12,13:11:00,Winter
262,29 December 202304:01[682],F9 B5 ♺B1069.12,"CCSFS,SLC-40",Starlink Group 6-36 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2023-12-29 04:01:00,Friday,2023,12,04:01:00,Winter
263,3 January 202403:44[687],F9 B5 B1082.1,"VSFB,SLC-4E",Starlink Group 7-9 (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),2024-01-03 03:44:00,Wednesday,2024,1,03:44:00,Winter
264,3 January 202423:04[688],F9 B5 ♺ B1076.10,"CCSFS,SLC-40",Ovzon-3,"1,800 kg (4,000 lb)",GTO,Ovzon,Success,Success(ground pad),2024-01-03 23:04:00,Wednesday,2024,1,23:04:00,Winter
265,7 January 202422:35[692],F9 B5 ♺ B1067.16,"CCSFS,SLC-40",Starlink Group 6-35 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2024-01-07 22:35:00,Sunday,2024,1,22:35:00,Winter
266,14 January 202408:59[694],F9 B5 ♺B1061.18,"VSFB,SLC-4E",Starlink Group 7-10 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2024-01-14 08:59:00,Sunday,2024,1,08:59:00,Winter
267,15 January 202401:52[695],F9 B5 ♺B1073.12,"CCSFS,SLC-40",Starlink Group 6-37 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2024-01-15 01:52:00,Monday,2024,1,01:52:00,Winter
268,18 January 202421:49[698],F9 B5 ♺B1080.5,"KSC,LC-39A",Ax-3(Crew Dragon C212.3 Freedom ♺) [556][699],"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success(ground pad),2024-01-18 21:49:00,Thursday,2024,1,21:49:00,Winter
269,24 January 202400:35[701],F9 B5 ♺B1063.16,"VSFB,SLC-4E",Starlink Group 7-11 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2024-01-24 00:35:00,Wednesday,2024,1,00:35:00,Winter
270,29 January 202401:10[702],F9 B5 ♺B1062.18,"KSC,LC-39A",Starlink Group 6-38 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2024-01-29 01:10:00,Monday,2024,1,01:10:00,Winter
271,29 January 202405:57[703],F9 B5 ♺B1075.9,"VSFB,SLC-4E",Starlink Group 7-12 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2024-01-29 05:57:00,Monday,2024,1,05:57:00,Winter
272,30 January 202417:07[704],F9 B5 ♺B1077.10,"CCSFS,SLC-40",CRS NG-20 (Cygnus (enhanced) S.S.Patricia “Patty” Hilliard Robertson)[705],"3,726 kg (8,214 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success(ground pad),2024-01-30 17:07:00,Tuesday,2024,1,17:07:00,Winter
273,8 February 202406:33[707],F9 B5 ♺B1081.4,"CCSFS,SLC-40",PACE,"1,694 kg (3,735 lb)",SSO,NASA (LSP),Success,Success(ground pad),2024-02-08 06:33:00,Thursday,2024,2,06:33:00,Winter
274,10 February 202400:34[709],F9 B5 ♺B1071.14,"VSFB,SLC-4E",Starlink Group 7-13 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2024-02-10 00:34:00,Saturday,2024,2,00:34:00,Winter
275,14 February 202422:30[710],F9 B5 ♺ B1078.7,"CCSFS,SLC-40",USSF-124 (2 HBTSS and 4 SDA Tranche 0 Tracking Layer satellites)[711],Unknown,LEO,USSFSDA,Success,Success(ground pad),2024-02-14 22:30:00,Wednesday,2024,2,22:30:00,Winter
276,15 February 202406:05[712],F9 B5 ♺ B1060.18,"KSC,LC-39A",IM-1 Nova-C Odysseus lander,"1,931 kg (4,257 lb)",TLI,NASA (CLPS)Intuitive Machines,Success,Success(ground pad),2024-02-15 06:05:00,Thursday,2024,2,06:05:00,Winter
277,15 February 202421:34[717],F9 B5 ♺B1082.2,"VSFB,SLC-4E",Starlink Group 7-14 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2024-02-15 21:34:00,Thursday,2024,2,21:34:00,Winter
278,20 February 202420:11[719],F9 B5 ♺B1067.17,"CCSFS,SLC-40",Merah Putih 2 / Telkomsat HTS 113BT[720],"4,000 kg (8,800 lb)",GTO,Telkom Indonesia,Success,Success(drone ship),2024-02-20 20:11:00,Tuesday,2024,2,20:11:00,Winter
279,23 February 202404:11[721],F9 B5 ♺B1061.19,"VSFB,SLC-4E",Starlink Group 7-15 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2024-02-23 04:11:00,Friday,2024,2,04:11:00,Winter
280,25 February 202422:06[723],F9 B5 ♺B1069.13,"CCSFS,SLC-40",Starlink Group 6-39 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success(drone ship),2024-02-25 22:06:00,Sunday,2024,2,22:06:00,Winter
281,29 February 202415:30[725],F9 B5 ♺B1076.11,"CCSFS,SLC-40",Starlink Group 6-40 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2024-02-29 15:30:00,Thursday,2024,2,15:30:00,Winter
282,4 March 202403:53[726],F9 B5B1083.1,"KSC,LC-39A",Crew-8(Crew Dragon C206.5 Endeavour ♺ )[612],"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[22],Success,Success(ground pad),2024-03-04 03:53:00,Monday,2024,3,03:53:00,Spring
283,4 March 202422:05[728],F9 B5 ♺B1081.5,"VSFB,SLC-4E",Transporter-10:(53 payloads SmallSat Rideshare)[729],Unknown[e],SSO,Various,Success,Success(ground pad),2024-03-04 22:05:00,Monday,2024,3,22:05:00,Spring
284,4 March 202423:56[731],F9 B5 ♺B1073.13,"CCSFS,SLC-40",Starlink Group 6-41 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2024-03-04 23:56:00,Monday,2024,3,23:56:00,Spring
285,10 March 202423:05[733],F9 B5 ♺B1077.11,"CCSFS,SLC-40",Starlink Group 6-43 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2024-03-10 23:05:00,Sunday,2024,3,23:05:00,Spring
286,11 March 202404:09[734],F9 B5 ♺B1063.17,"VSFB,SLC-4E",Starlink Group 7-17 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2024-03-11 04:09:00,Monday,2024,3,04:09:00,Spring
287,16 March 202400:21[735],F9 B5 ♺B1062.19,"KSC,LC-39A",Starlink Group 6-44 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),2024-03-16 00:21:00,Saturday,2024,3,00:21:00,Spring
288,19 March 202402:28[736],F9 B5 ♺B1075.10,"VSFB,SLC-4E",Starlink Group 7-16 (20 Starlink and 2 Starshield satellites)[737],"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),2024-03-19 02:28:00,Tuesday,2024,3,02:28:00,Spring
289,21 March 202420:55[739],F9 B5 ♺B1080.6,"CCSFS,SLC-40",SpaceX CRS-30(Dragon C209.4 ♺)[740],"2,721 kg (5,999 lb)",LEO (ISS),NASA (CRS),Success,Success(ground pad),2024-03-21 20:55:00,Thursday,2024,3,20:55:00,Spring
